제품명,성분명,코드
웰정(염산부프로피온)(수출명:디쁘레오정),부프로피온염산염,K-012266
캘코트정 6mg,데플라자코트,K-006273
리스펜정 1mg,리스페리돈,K-014587
오메드정(오메프라졸)(수출용),오메프라졸,K-004285
로나센정 8mg,블로난세린,K-036784
악토넬정 5mg,리세드론산나트륨,K-008899
엑스원에이정 5/160/20mg,암로디핀베실산염|발사르탄|아토르바스타틴칼슘수화물,K-052620
베실살탄정 10/50mg,암로디핀베실산염|로사르탄칼륨,K-036172
이노베론필름코팅정 200mg,루피나미드,K-026545
페브릭정 40mg,페북소스타트,K-031214
파라마셋세미정,트라마돌염산염|아세트아미노펜,K-023807
아모잘탄큐정 5/50/5mg,암로디핀캄실산염|로수바스타틴칼슘|로사르탄칼륨,K-042044
자이프렉사정 2.5mg,올란자핀,K-012420
오르필서방정 300mg,발프로산나트륨,K-003105
프로베라정 5mg,메드록시프로게스테론아세테이트,K-016193
자디앙정 10mg,엠파글리플로진,K-033829
페인리스세미정,트라마돌염산염|아세트아미노펜,K-023594
오르필서방정 150mg,발프로산나트륨,K-007146
리큅피디정 8mg,로피니롤염산염,K-023720
칸데모어정 8mg,칸데사르탄실렉세틸,K-024162
아카브정30/10밀리그램,피마사르탄칼륨삼수화물과립|아토르바스타틴칼슘삼수화물,K-051672
미가드정 2.5mg,프로바트립탄숙신산염일수화물,K-025691
인베가서방정 6mg,팔리페리돈,K-050266
유니메톤정(나부메톤)(수출명:필유니메톤정),나부메톤,K-003611
안플원정 100mg,사르포그렐레이트염산염,K-044818
미라펙스서방정 0.75mg,프라미펙솔염산염일수화물,K-027127
헵큐어정 10mg,아데포비어디피복실,K-027436
코자플러스정,로사르탄칼륨|히드로클로로티아지드,K-025033
레비아정(날트렉손염산염),날트렉손염산염,K-006169
다오닐정5mg(수출용),글리벤클라미드,K-000118
로나센정 4mg,블로난세린,K-055721
후릭스정(푸로세미드),푸로세미드,K-000168
에도파벨정 1mg,라사길린메실산염,K-049277
콩코르정 2.5mg,비소프롤롤푸마르산염,K-011250
베시보정(베시포비르디피복실말레산염),베시포비르디피복실말레산염,K-041657
글리멜정 1mg,글리메피리드,K-014084
뮤코라제정(스트렙토키나제.스트렙토도르나제분말),스트렙토키나제ㆍ스트렙토도르나제분말,K-003868
케토라신정(케토롤락트로메타민)500정,케토롤락트로메타민,K-004913
몰시톤정 2mg,몰시도민,K-005208
에소듀오정 20/800mg,에스오메프라졸마그네슘삼수화물|탄산수소나트륨,K-043780
마이렙틱엔장용정 180mg,미코페놀레이트나트륨,K-040622
플리바스정 50mg,나프토피딜,K-028424
셀레베타서방정 50mg,미라베그론,K-051115
케피람정 250mg,레비티라세탐,K-030240
뉴토르정 10mg,아토르바스타틴칼슘삼수화물,K-031365
오잘탄정 50mg,로사르탄칼륨,K-017506
아토젯정 10/10mg,에제티미브|아토르바스타틴칼슘삼수화물,K-035208
엑스원에이정 5/80/20mg,암로디핀베실산염|발사르탄|아토르바스타틴칼슘수화물,K-052618
데파코트서방정 250mg,디발프로엑스나트륨,K-018141
유리텍정(리루졸),리루졸,K-034460
리버힐정(비페닐디메칠디카르복실레이트),비페닐디메틸디카르복실레이트,K-011524
심바스트씨알정(심바스타틴),심바스타틴,K-021904
플리바스정 75mg,나프토피딜,K-028423
몬테리진츄정,몬테루카스트나트륨|레보세티리진염산염,K-043670
아리셉트정 5mg,도네페질염산염,K-008834
레오다제정(스트렙토키나제.스트렙토도르나제),스트렙토키나제ㆍ스트렙토도르나제,K-005430
가브스정 50mg,빌다글립틴,K-022846
프레미나정 0.3mg,결합형에스트로겐,K-022318
듀오논정 10/20mg,로수바스타틴칼슘|에제티미브,K-037492
미니린멜트설하정 60mcg,데스모프레신아세트산염,K-020966
현대제스트릴정 10mg,리시노프릴,K-003157
글레딘정(글리메피리드)(수출명:GLITRID),글리메피리드,K-014853
라믹탈정 50mg,라모트리진,K-054859
아카브정60/20밀리그램,피마사르탄칼륨삼수화물과립|아토르바스타틴칼슘삼수화물,K-051669
일성이솦틴정 40mg,베라파밀염산염,K-004632
투게논정 10/16mg,로수바스타틴칼슘|칸데사르탄실렉세틸,K-041691
아빌리파이정 2mg,아리피프라졸,K-024468
디아미크롱서방정(글리클라지드),글리클라지드,K-023957
이미그란정 50mg,수마트립탄숙신산염,K-005949
