제품명,성분명,코드
펜타우드정(덱시부프로펜),덱시부프로펜,K-010538
게보린정 300mg/PTP,아세트아미노펜|카페인무수물|이소프로필안티피린,K-000573
엠피스정 300mg/PTP,클로르족사존|아세트아미노펜,K-012914
카푸린에스정 200mg/병,아세트아미노펜|카페인무수물|에페드린염산염,K-032243
지니펜정 200mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-032158
엑스콜콜드캡슐 158mg/포,아세트아미노펜|클로르페니라민말레산염|수도에페드린염산염|덱스트로메토르판브롬화수소산염수화물|구아야콜설폰산칼륨|아스코르브산|카페인무수물|갈근탕엑스,K-034827
아이월드요비신정 416.7mg/PTP,지황|당귀|목통|황금|택사|차전자|감초|치자|용담|육계|생강|대황|마황|연교,K-022749
보나링츄어블정 20mg/PTP,디멘히드리네이트|스코폴라민브롬화수소산염수화물,K-038290
엔시드8시간이알서방정 650mg,아세트아미노펜,K-012244
베라드정 0.5g/PTP,지실|작약|길경|건강|대추|감초,K-000650
나프록스정 275mg,나프록센나트륨,K-007235
요로신정 416.7mg/PTP,지황|당귀|목통|황금|택사|차전자|감초|치자|용담|육계|생강|대황|마황|연교,K-011541
이치원캡슐 1250mg/PTP,승마|목단피|당귀|황련|생지황,K-050103
알베오텐정(비매품) (수출용),넬테넥신일수화물,K-010554
셀라펜정 300mg/PTP,클로르족사존|아세트아미노펜,K-005025
엘칸정 330mg,엘-카르니틴,K-002942
엘도에스정(에르도스테인),에르도스테인,K-046375
삐삐콜플러스정 2mg/병,d-브롬페니라민말레산염|수도에페드린황산염,K-009443
알삭센정(나프록센나트륨),나프록센나트륨,K-002537
슬라드린정 200mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-043285
맥시부펜이알정 300mg,덱시부프로펜,K-022362
알게론정 500mg,알마게이트,K-029916
덱스핀정(비매품),덱시부프로펜디.씨,K-010738
슈가린정 200mg/병,아세트아미노펜|에페드린염산염|카페인무수물,K-040244
훼스탈골드정,판크레아틴|디아스타제·프로테아제·셀룰라제|프로자임6|리파제|셀룰라제|우르소데옥시콜산|시메티콘,K-007822
종근당알벤다졸정 400mg/PTP,알벤다졸,K-004030
슬렌페드씨정 200mg/병,아세트아미노펜|에페드린염산염|카페인무수물|아스코르브산97%과립,K-030060
씨메탈시정 50mg/PTP,시메티딘|규산알루민산마그네슘|히드로탈시트|탄산수소나트륨,K-007588
바이엘아스피린정 500mg,아스피린,K-010140
까스앤프리츄정 80mg/PTP,시메티콘,K-037988
파나덱스정 300mg,덱시부프로펜,K-045583
게루삼정 200mg/PTP,건조수산화알루미늄 겔|침강탄산칼슘|탄산마그네슘|탄산수소나트륨,K-000059
훼스탈플러스정 315mg/PTP,판크레아틴|셀룰라제|우르소데옥시콜산|시메티콘,K-007024
해슈펜에프정 200mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-045658
브로다제장용정(브로멜라인),브로멜라인,K-017668
콘로인캡슐(황산콘드로이틴나트륨),콘드로이틴설페이트나트륨,K-007923
카이로정 500mg/PTP,아세트아미노펜|부틸스코폴라민브롬화물,K-025648
크라운소브레롤캅셀,소브레롤,K-002049
뉴클로정 125mg/PTP,클로닉신리시네이트,K-025262
대화이부프로펜정 400mg,이부프로펜,K-002495
에키나포스프로텍트정 1140mg,에키나시아푸르푸레아 허바팅크|에키나시아푸르푸레아 뿌리팅크,K-026788
웰다운에스정 200mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-029910
펙소나딘정 120mg,펙소페나딘염산염,K-018305
엘도랄정(에르도스테인),에르도스테인,K-013332
네오벤졸정 400mg/PTP,알벤다졸,K-051165
타나센정 500mg/PTP,아세트아미노펜|카페인수화물,K-016736
나프록소정(나프록센나트륨),나프록센나트륨,K-041290
로이디펜캡슐 20mg/PTP,엔테로코쿠스페칼리스 F-100균|로페라미드염산염|베르베린염화물수화물|아크리놀수화물,K-010912
소니펜정 300mg,덱시부프로펜,K-033609
알졸타정400mg/PTP,알벤다졸,K-026561
마그네스정(수출용)(몽골),락트산마그네슘수화물|피리독신염산염,K-013259
신일겔정 200mg/병,건조수산화알루미늄겔|탄산마그네슘|침강탄산칼슘|탄산수소나트륨,K-033171
다산알벤다졸정400mg/PTP,알벤다졸,K-052276
부스코판플러스정 10mg/PTP,부틸스코폴라민브롬화물|아세트아미노펜,K-025276
더블자임정 400mg/PTP,메타규산알루민산마그네슘|탄산수소나트륨|디아스타제·프로테아제·셀룰라제|스코폴리아엑스|리파제|감초가루|침강탄산칼슘|트리메부틴말레산염,K-040587
큐레틴정(빌베리건조엑스),빌베리건조엑스,K-019469
카베진코와알파정 25mg/PTP,메틸메티오닌설포늄염화물|스코폴리아엑스3배산|당약가루|비오디아스타제2000|리파제AP12|자소엽건조엑스|탄산마그네슘|탄산수소나트륨|침강탄산칼슘,K-044660
타이레놀콜드-에스정 325mg/PTP,아세트아미노펜|슈도에페드린염산염|덱스트로메토르판브롬화수소산염수화물|클로르페니라민말레인산염,K-013626
맥스펜정(덱시부프로펜디.씨),덱시부프로펜,K-011942
세르비아캡슐(엔테로코쿠스페슘스트레인세르넬레68균),엔테로코쿠스페슘스트레인세르넬레68균ME,K-009410
근편정 300mg/PTP,클로르족사존|아세트아미노펜,K-033746
고칼디정,탄산칼슘|농축콜레칼시페롤 과립,K-030840
기스톱정(세티리진염산염),세티리진염산염,K-023410
렉스펜정 300mg/PTP,클로르족사존|아세트아미노펜,K-020330
에버칼정,탄산칼슘|농축콜레칼시페롤과립,K-024350
이바내정 51.55mg/PTP,리보플라빈부티레이트|피리독신염산염97%과립|아스코르브산97%과립|니코틴산아미드|비오틴1%|L-시스테인|의이인건조엑스,K-011543
일양노이시린에이정(규산알루민산마그네슘),규산알루민산마그네슘,K-000479
파자임-95밀리그램이중정,판크레아틴|시메티콘 산|시메티콘,K-001061
하이펜정 500mg/PTP,아세트아미노펜|푸르설티아민,K-024503
이모나캡슐 150mg/PTP,염화리소짐|아스코르브산|토코페롤아세테이트 2배산|카르바조크롬,K-015230
슈가펜에스정 200mg/병,아세트아미노펜|에페드린염산염|카페인무수물,K-029864
익수알벤졸정 400mg/PTP,알벤다졸,K-026059
엘레비트정 121mg/PTP,,K-038957
임팩타민파워정 50mg/병,벤포티아민|리보플라빈|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민1000배산|콜린타르타르산염|이노시톨|비오틴|폴산|산화아연|아스코르브산과립97%,K-024995
올바펜정 500mg/PTP,아세트아미노펜|푸르설티아민,K-012003
센티렉스어드밴스정 650.132mg/병,,K-037501
디젠정 250mg/PTP (수출용),탄산마그네슘|탄산수소나트륨|디아스타제·프로테아제100|스코폴리아엑스,K-014986
팍스정(덱시부프로펜),덱시부프로펜,K-010366
에스프로펜정(덱시부프로펜),덱시부프로펜,K-012192
대웅알벤다졸정 400mg/PTP,알벤다졸,K-019904
뮤코스텐캡슐 100mg,아세틸시스테인,K-003078
알비정400mg/PTP,알벤다졸,K-012865
미래나프록센나트륨정,나프록센나트륨,K-008123
한신리페인캡슐 1g/PTP,작약|감초,K-008014
씨씨본정(침강탄산칼슘),침강탄산칼슘,K-008204
써스펜8시간이알서방정 650mg,아세트아미노펜,K-013395
아르펜정 200mg/PTP,이부프로펜|아르기닌,K-011783
프로트린정(나트록센나트륨),나프록센나트륨,K-003017
키모랄에스정 40mg/PTP,브로멜라인|결정트립신,K-000147
프리나정(나프록센나트륨),나프록센나트륨,K-007340
데이감에스정 500mg/PTP,아세트아미노펜|클로르페니라민말레산염|슈도에페드린염산염,K-013378
알메텍정(세티리진염산염),세티리진염산염,K-006250
노시드정 124.9mg/PTP,옥세타자인|탄산마그네슘|건조수산화알루미늄겔,K-051306
훼로바-유서방정(비매품),건조황산제일철,K-010749
덱시파인정(덱시부프로펜),덱시부프로펜,K-049905
시노피드플러스정 500mg/PTP,아세트아미노펜|슈도에페드린염산염|클로르페니라민말레산염,K-011166
디크로닉정(클로닉신리시네이트),클로닉신리시네이트,K-001728
하벤허브에프캡슐 200mg/PTP,아세트아미노펜|구아이페네신|수도에페드린염산염|클로페라스틴염산염|클로르페니라민말레산염|티아민질산염|리보플라빈|감초건조엑스|길경50%에탄올건조엑스|계피건조엑스,K-044830
보나링에이정(디멘히드리네이트),디멘히드리네이트,K-000121
로텍정(염산세티리진)(수출명:ZINRYTECTabs),세티리진염산염,K-006456
노이로민정(세인트존스워트80%메탄올건조엑스),세인트존스워트80%메탄올건조엑스,K-007638
신일트리메부틴말레산염정(수출용),트리메부틴말레산염,K-001743
써모펜에스정 200mg/병,아세트아미노펜|에페드린염산염|카페인무수물,K-029865
디맥정 1000IU/PTP,농축콜레칼시페롤과립,K-031876
케어코프캡슐 46.67mg/PTP,노스카핀|dl-메틸에페드린염산염|말레인산카르비녹사민|구아야콜설폰산칼륨수화물|덱스트로메토르판브롬화수소산염수화물,K-013263
아클린정 300mg/PTP,아세트아미노펜|클로르족사존,K-022963
일양나프록센나트륨정 275mg/PTP,나프록센나트륨,K-033588
엘스테인정(에르도스테인),에르도스테인,K-044834
,,K-005558
큐자임정,디아스타제·프로테아제·셀룰라제|dl-카르니틴염산염|우담즙건조엑스|글리시리진산암모늄|티아민염산염,K-004548
람노스캡슐(락토바실루스카제이변종람노수스)(수출명1:올바이오캡슐수출명2:안티비오포르테캡슐),락토바실루스카제이변종람노수스의동결건조배양물,K-013256
임팩타민정 50mg/PTP,티아민질산염|리보플라빈3배산|니코틴산아미드|판토텐산칼슘|피리독신염산염|폴산|시아노코발라민1000배산|산화아연,K-022095
잘젠정 30mg/PTP,디아스타제·프로테아제·셀룰라제|리파제|우르소데옥시콜산|시메티콘 산,K-010769
익수허브콜캡슐 490mg/포,금은화|연교|두시|우방자|박하|길경|감초|담죽엽|형개|영양각,K-022371
낙센정 250mg/PTP,나프록센,K-000272
알콤정 500mg/PTP,플루벤다졸,K-004617
크라렉신정 150mg/PTP,클로르족사존|에텐자미드|카페인무수물,K-009552
이티민정 80mg,은행엽건조엑스,K-047998
우루사정 100mg,우르소데옥시콜산,K-000746
스트렙실허니앤레몬트로키 8.75mg/PTP,플루르비프로펜,K-026741
애니탈삼중정 50mg/병,메타규산알루민산마그네슘|탄산수소나트륨|침강탄산칼슘|디아스타제·프로테아제·셀룰라제|리파제|감초가루|스코폴리아엑스|트리메부틴말레산염,K-006284
하디코프에프정 200mg/PTP,아세트아미노펜|슈도에페드린염산염|덱스트로메토르판브롬화수소산염수화물|구아이페네신,K-013450
아웃콜캡슐 200mg/PTP,소청룡탕건조엑스|아세트아미노펜|티페피딘히벤즈산염|클로르페니라민말레산염|카페인무수물,K-008826
디카맥스디정,탄산칼슘 95%과립|농축콜레칼시페롤 과립,K-023310
,,K-007120
우루리버정 100mg,우르소데옥시콜산,K-043542
스토마신캡슐 500mg/PTP,구풍해독탕건조엑스,K-025194
삼남건조수산화알루미늄겔정,건조수산화알루미늄 겔,K-005094
쾌이락큐정 500mg/PTP,수산화마그네슘|우르소데옥시콜산|노회엑스,K-017482
복합파자임이중정,판크레아틴|우르소데옥시콜산|시메티콘,K-005676
에세푸릴캡슐(니푸록사지드),니푸록사지드,K-001527
래피콜에이캡슐 100mg/PTP,아세트아미노펜|에텐자미드|티페피딘히벤즈산염|dl-메틸에페드린염산염|클로르페니라민말레산염|카페인무수물|티아민질산염|리보플라빈|제피아스코르브산|향소산건조엑스,K-019196
로페도에프캡슐 10mg,아크리놀수화물|베르베린염화물수화물|비스무트차질산염|스코폴리아엑스10배산,K-039810
아세드린정 100mg/병,아세트아미노펜|에페드린염산염|카페인무수물,K-038760
펜잘큐정 300mg/PTP,아세트아미노펜|카페인무수물|에텐자미드,K-024854
람노스캡슐500mg/병,락토바실루스카제이변종람노수스의동결건조배양물,K-041149
기넥신에프정 80mg,은행엽건조엑스,K-006564
징코란정 80mg,은행엽건조엑스,K-043946
라니린에스정 100mg/병,아세트아미노펜|에페드린염산염|카페인무수물,K-032883
대화산화마그네슘정,산화마그네슘,K-040709
뮤코론캡슐 375mg,카르보시스테인,K-000672
삼남아세트아미노펜정,아세트아미노펜,K-004637
페리나정 25mg/PTP,수도에페드린염산염|클로르페니라민말레산염,K-000364
플라벤정 500mg/PTP,미세정제플라보노이드분획물,K-021617
화인탈츄어블정 12.5mg/포,메클리진염산염수화물|스코폴라민브롬화수소산염수화물,K-011686
리보테인정 33.33mg/PTP,리보플라빈부티레이트|피리독신염산염|니코틴산아미드|비오틴|L-시스테인,K-007348
클로다펜정 200mg/PTP,클로르족사존,K-035649
트립라인정 40mg/PTP,브로멜라인|결정트립신,K-009379
바소필정(은행엽건조엑스),은행엽건조엑스,K-044978
메카인정 25mg/PTP,메클리진염산염수화물|스코폴라민브롬화수소산염수화물|카페인무수물,K-003329
크록신정 250mg,클로닉신리시네이트,K-002256
어린이용타이레놀정 80mg,아세트아미노펜 과립,K-004379
비카페롤정,탄산칼슘|농축콜레칼시페롤,K-044184
진맥톤정 80mg,은행엽엑스,K-008996
코트리나캡슐 50mg/PTP,메퀴타진|벨라돈나총알칼로이드|글리시리진산이칼륨|슈도에페드린염산염|카페인무수물,K-051196
액소도스정 60mg/PTP (수출용),트리프롤리딘염산염수화물|수도에페드린염산염,K-009432
플러스디정 10mg/PTP,콜레칼시페롤농축분말,K-029892
진트로이에프정(말레인산트리메부틴),트리메부틴말레산염,K-014567
코졸텍정(세티리진염산염),세티리진염산염,K-006544
키로민정 80mg,은행엽건조엑스,K-042785
리메부틴정100T(수출용),트리메부틴말레산염,K-009496
프리메정(덱시부프로펜디.씨),덱시부프로펜 디.씨,K-011154
질러탈정(염산세티리진),세티리진염산염,K-006435
로프민캡슐(염산로페라미드),로페라미드염산염,K-000368
아진탈플러스정 92mg/PTP,판크레아틴 장용과립|육계 가루|회향 가루|용담 가루|정향 가루|우르소데옥시콜산,K-048028
생장환에스정 55mg/PTP,도큐세이트나트륨|센나엽가루|Tinnevelly 센나열매가루|비사코딜,K-011544
팬스타정(덱시부프로펜디.씨),덱시부프로펜,K-011064
코미정 10mg/PTP,페닐레프린염산염|클로르페니라민말레산염,K-010450
디카맥스1000정,탄산칼슘 95%과립|농축콜레칼시페롤 과립,K-017108
타이레놀정 160mg,아세트아미노펜 과립,K-004799
트라밍엔정 25mg/PTP,메클리진염산염수화물|스코폴라민브롬화수소산염수화물|카페인무수물,K-045862
엑티리딘정 2.5mg/PTP,수도에페드린염산염|트리프롤리딘염산염수화물,K-006886
징코로민정(은행엽엑스),은행엽건조엑스,K-030986
인플라정 40mg/PTP,브로멜라인|결정트립신,K-018718
하이소밍에이정 2mg/병,아미노필린|dl-메틸에페드린염산염|클로르페니라민말레산염,K-038582
타라부틴정 200mg,트리메부틴말레산염,K-002186
파비시드정 200mg/PTP,건조수산화알루미늄겔|침강탄산칼슘|탄산마그네슘|탄산수소나트륨,K-049501
맥스타제-에스정 80mg/PTP,탄산마그네슘|스코폴리아엑스10배산|디아스타제·프로테아제100|탄산수소나트륨,K-025828
알티린정(홍콩),세티리진염산염,K-006432
제스부틴정 100mg/PTP,트리메부틴말레산염,K-012256
세티스정 10mg/PTP,세티리진염산염,K-025120
포부틴정(트리메부틴말레산염),트리메부틴말레산염,K-013135
트라우밀정 15mg/병,아르니카틴크D2|카렌두라틴크 D2|하마메리스틴크D2|밀레포리움틴크D3|벨라돈나틴크D4|아코니툼틴크D3|카모밀라틴크D3|심피툼틴크D8|벨리스페렌니스틴크D2|에키나세아안구스티폴틴크D2|에키나세아플푸르틴크D2|히페리쿰틴크D2|헤파설프리스D3,K-001352
동성정로환에프정 25mg/PTP,구아야콜|황백엑스산|황련가루|감초가루|진피건조엑스,K-044382
세보칸정 80mg,은행엽엑스,K-006421
타라부틴정(트리메부틴말레산염)(수출명:뉴트리소젠정),트리메부틴말레산염,K-000836
캐롤에프정 368.9mg/PTP,이부프로펜아르기닌,K-020805
트리앤정 100mg/PTP,트리메부틴말레산염,K-017574
코나진정(염산세티리진)(수출명:알리코염산세티리진정보파세티리진나정자이조세트정),세티리진염산염,K-006235
세트린정(염산세티리진)(수출명:ANTIRIZINtab),세티리진염산염,K-006025
셀트리온트리메부틴말레산염정,트리메부틴말레산염,K-010408
세이브론캡슐 200mg/PTP,아세틸시스테인|클로르페니라민말레산염,K-018720
메부라틴정 150mg,트리메부틴말레산염,K-015989
,,K-007246
하이스탈정 470mg/PTP,메타규산알루민산마그네슘|탄산수소나트륨|디아스타제·프로테아제·셀룰라제|스코폴리아엑스|리파제|감초가루|침강탄산칼슘|트리메부틴말레산염,K-011029
디마겐정 0.84g/PTP,반하|황금|건강|인삼|감초|대추|황련|이상 연조엑스로서,K-024765
세티진정(세티리진염산염),세티리진염산염,K-008976
징카민정 80mg,은행엽건조엑스,K-047626
오로친에스정 4mg/PTP,클로르페니라민말레산염|dl-메틸에페드린염산염|인진호탕건조엑스,K-014102
휴맥톤정 80mg,은행엽엑스,K-042616
보령바이오아스트릭스캡슐 100mg,아스피린장용과립,K-026636
소하자임플러스정 50mg/PTP,메타규산알루민산마그네슘|탄산수소나트륨|디아스타제·프로테아제·셀룰라제|스코폴리아엑스|리파제|감초가루|침강탄산칼슘|트리메부틴말레산염,K-013390
미소쿨정 200mg/포,건조수산화알루미늄 겔|침강탄산칼슘|탄산마그네슘|탄산수소나트륨,K-049866
제스판골드정 80mg/PTP,디아스타제·프로테아제·셀룰라제|프로자임|디메티콘|판크레아틴|DL-카르니틴염산염,K-022183
자비론정(독실아민석시네이트),독시라민숙신산염,K-002031
트리멘정(트리메부틴말레산염),트리메부틴말레산염,K-034327
글로아스피린장용정 100mg,아스피린,K-033406
베로나에스정 66.7mg/PTP,현초가루|베르베린염화물수화물|아크리놀수화물,K-035328
데코라펜정,덱시부프로펜,K-010545
아나피린장용정 100mg,아스피린,K-030177
진코신정 40mg,은행엽건조엑스,K-041918
파비안에스정 100mg/병,아세트아미노펜|에페드린염산염|카페인무수물,K-030053
알레리진정(세티리진염산염),세티리진염산염,K-006064
웰다운비정 100mg/병,에페드린염산염|카페인무수물|아세트아미노펜|티아민질산염3배산,K-033146
자니틴정(니자티딘)(비매품),니자티딘,K-009387
한올트리메부틴말레산염정,트리메부틴말레산염,K-014205
,,K-014180
토파제정(수출명:판틴정),판크레아틴|디메티콘|우담즙엑스|셀룰라제,K-003746
씨즈날정(세티리진염산염),세티리진염산염,K-006697
시알딘정 125mg/PTP,시메티딘|규산알루민산마그네슘|히드로탈시트|탄산수소나트륨,K-017479
,,K-052916
,,K-052691
베스자임정,디메티콘|판크레아틴|브로멜라인,K-005466
애드빌정 200mL/PTP,이부프로펜,K-011354
아루텍정(염산세티리진),세티리진염산염,K-006323
디프로펜정300mg/병,덱시부프로펜 디.씨.,K-058086
징코엠정 80mg,은행엽엑스,K-043251
기넥신에프정(은행엽엑스)(수출용),은행엽건조엑스,K-003483
액티넘이엑스플러스정 36.39mg/병,푸르설티아민염산염|피리독신염산염|시아노코발라민|토코페롤숙시네이트칼슘|판토텐산칼슘 타입S|γ-오리자놀,K-032376
노타민정(로라타딘),로라타딘,K-006287
비카린엠장용정 100mg/PTP,도큐세이트나트륨|센나엽가루|비사코딜,K-036353
유미오틴정 5mg/PTP,비오틴,K-049881
알러비정(세티리진염산염),세티리진염산염,K-038972
징코엠정 40mg,은행엽엑스,K-043250
이베다정 40mg/PTP,리보플라빈부티레이트|피리독신염산염|니코틴산아미드|비오틴|L-시스테인|제피아스코르브산,K-033333
크로낙정(클로닉신리시네이트),클로닉신리시네이트,K-001330
그날엔정 75mg/PTP,이부프로펜|알릴이소프로필아세틸우레아|카페인무수물,K-025458
진코발정 40mg,은행엽건조엑스,K-041998
미래트리메부틴정 100mg/병,트리메부틴말레산염,K-019461
바넥신정 40mg,은행엽건조엑스,K-051295
닥터베아제정 80mg/병,디아스타제·프로테아제·셀룰라제|판셀라제|크리아제-PEG|디아스타제·프로테아제100|판프로신|리파제|브로멜라인|우르소데옥시콜산|시메티콘파우더,K-012769
코딜로드정 55mg/PTP,도큐세이트나트륨|센나엽가루|Tinnevelly 센나열매가루|비사코딜,K-024279
휴니즈트리메부틴말레산염정,트리메부틴말레산염,K-036307
한미아스피린장용정 100mg,아스피린,K-009453
트리마정 200mg,트리메부틴말레산염,K-002257
로리딘정(로라티딘),로라타딘,K-006562
큐시드정 31.5mg/PTP,라니티딘염산염|산화마그네슘|규산알루민산마그네슘|수산화알루민산마그네슘,K-025438
머시론정 0.15mg/PTP,데소게스트렐|에티닐에스트라디올,K-010284
스메르정(독시라민숙신산염),독시라민숙신산염,K-002536
쎄로테정(염산세티리진),세티리진염산염,K-007339
에쟈스민정(로라타딘)(수출용),로라타딘,K-010543
뮤코펙트정(암브록솔염산염),암브록솔염산염,K-025189
판코타제정 175mg/PTP,판크레아틴I|우담즙건조엑스|디메티콘|셀룰라제,K-025500
크라운세티리진염산염정(군납용),세티리진염산염,K-007388
쎄닐톤정 60mg/병 (수출용),쎄니틴 T60|쎄니틴 GBX,K-000481
스파부틴정 100mg,트리메부틴말레산염,K-000779
베아제정(수출용),디아스타제·프로테아제·셀룰라제|리파제|판프로신|판셀라제|판크레아틴장용과립|우르소데옥시콜산|시메티콘,K-001862
징코에프정 40mg,은행엽건조엑스,K-045925
속시판정 175mg/PTP,판크레아틴|헤미셀룰라제|디메치콘|우르소데옥시콜산,K-026581
이부펜정 400mg,이부프로펜,K-002240
듀오락스정 5mg/병,도큐세이트나트륨|비사코딜,K-004268
진코바정 80mg,은행엽건조엑스,K-008120
씨콜드코프정 200mg/PTP,아세트아미노펜|구아이페네신|슈도에페드린염산염|클로페라스틴염산염|dl-메틸에페드린염산염|아스코르브산과립97%,K-016722
삼성아스피린장용정 100mg,아스피린,K-050705
진코멕신정 120mg,은행엽건조엑스,K-025283
지엘아스피린장용정 100mg,아스피린,K-046127
유니온아스피린장용정,아스피린,K-030574
영일아스피린장용정 100mg,아스피린,K-032138
아스피린프로텍트정 100mg,아스피린,K-011220
클로미딘정 100mg/병,건조레드클로버엑스,K-019790
제라타딘정(로라타딘),로라타딘,K-035659
진코발정 80mg,은행엽건조엑스,K-041997
구주로라타딘정 10mg,로라타딘,K-010995
니자드정(니자티딘),니자티딘,K-034125
자니티딘정 75mg,니자티딘,K-013368
징카민정 40mg,은행엽건조엑스,K-004442
신일티아민염산염정 10mg,티아민염산염,K-005223
노즈쏙정 20mg/PTP,슈도에페드린염산염|트리프롤리딘염산염수화물,K-033332
메부틴정(트리메부틴말레산염),트리메부틴말레산염,K-015499
아사프장용정 100mg,아스피린,K-034484
타이밍정 50mg/PTP,카페인무수물,K-000069
신일파모티딘정10mg/PTP,파모티딘,K-050375
다우제큐정 10mg/PTP,디아스타제·프로테아제·셀룰라제|리파제|우르소데옥시콜산,K-015236
진코신정 80mg,은행엽건조엑스,K-041917
다온정 0.1mg/PTP,레보노르게스트렐|에티닐에스트라디올,K-049556
서울아스피린장용정,아스피린,K-045265
니자티드정(니자티딘)(비매품),니자티딘,K-017220
